Genero,Edad,Estrato,Nivel
0,21,2,4
1,72,3,4
0,47,1,0
0,43,2,2
0,33,3,4
0,68,4,5
0,74,2,1
0,24,2,1
1,24,3,4
1,40,3,4
1,36,3,4
1,37,2,1
1,36,2,2
0,53,1,0
1,46,3,1
0,76,2,0
0,19,2,1
1,38,3,5
0,46,2,1
0,39,2,1
0,14,3,1
1,38,3,2
1,38,3,2
1,42,2,1
0,44,2,1
0,82,2,1
1,54,2,1
1,33,3,2
0,49,4,4
0,56,5,4
0,21,3,4
0,47,3,2
0,48,3,2
0,37,3,4
0,39,4,5
0,36,2,1
1,28,3,4
0,48,3,4
0,43,4,5
0,21,2,1
0,67,2,1
0,53,3,2
0,45,2,1
1,46,2,1
0,45,2,1
0,56,3,1
1,31,3,2
1,27,3,4
0,56,2,1
0,58,1,0
0,52,3,1
1,47,3,1
0,31,3,4
0,28,3,4
0,55,2,2
0,33,3,2
1,38,3,4
0,25,3,2
0,29,2,4
0,42,3,2
1,34,3,2
0,35,4,4
0,31,3,1
0,43,3,2
0,70,4,0
1,59,3,1
0,37,2,2
1,32,3,2
0,50,2,1
0,51,2,1
0,66,2,1
0,61,2,1
0,60,2,1
0,39,3,6
0,40,3,4
0,59,1,0
0,43,3,1
0,57,3,1
0,55,2,1
0,54,3,1
0,52,3,1
1,30,3,4
0,62,3,2
1,28,3,2
0,33,3,4
0,50,3,1
0,47,3,2
1,20,4,4
0,21,4,4
0,23,3,4
0,26,3,4
0,33,3,2
0,26,3,4
0,36,3,4
0,53,3,1
0,30,3,2
0,40,4,2
1,48,3,1
1,72,3,1
0,53,2,2
1,40,3,4
0,38,3,6
1,38,3,4
0,33,2,1
0,87,3,0
0,42,3,4
0,52,4,5
0,40,3,4
0,36,3,4
0,46,3,2
0,76,5,1
0,60,3,2
0,41,3,4
0,41,3,4
0,22,3,4
0,41,3,2
0,18,3,4
0,55,3,2
1,19,3,1
0,75,2,0
1,38,3,2
0,18,3,1
0,80,4,1
0,67,3,2
0,57,3,2
0,82,3,0
0,51,1,4
0,57,3,2
1,25,3,4
1,52,4,5
0,22,3,4
0,28,3,4
0,20,3,4
0,23,3,4
1,41,3,2
0,20,3,4
0,19,3,4
0,20,3,4
0,62,4,5
1,61,4,5
0,21,3,4
1,48,2,2
1,90,2,0
0,22,3,4
0,22,3,4
0,21,3,4
0,21,3,4
0,21,3,4
1,67,6,5
0,23,3,4
0,18,3,4
0,20,5,4
0,28,2,2
0,23,3,4
0,36,3,2
1,28,3,2
0,23,4,4
0,25,5,4
0,26,5,4
0,19,3,4
0,23,4,4
0,18,4,4
0,20,4,4
0,18,4,4
0,18,2,4
0,34,3,2
0,43,4,6
