Genero,Edad,Estrato,NivelEd,ConcProm
0,21,2,4,0.999998458
1,72,3,4,1.00000994
0,47,1,0,0.985683394
0,43,2,2,0.999993491
0,33,3,4,2.39E-05
0,68,4,5,-6.27E-06
0,74,2,1,1.000012427
0,24,2,1,1.000020114
1,24,3,4,0.999993987
1,40,3,4,0.800437914
1,36,3,4,1.124653739
1,37,2,1,3.49E-05
1,36,2,2,0.983790912
0,53,1,0,0.999992219
1,46,3,1,0.957069592
0,76,2,0,0.999998743
0,19,2,1,0.928500438
1,38,3,5,0.980034811
0,46,2,1,1.000000043
0,39,2,1,1.002499307
0,14,3,1,0.976502317
1,38,3,2,0.999973202
1,38,3,2,-0.007336424
1,42,2,1,0.046510151
0,44,2,1,-0.028904907
0,82,2,1,0.066899091
1,54,2,1,-0.108596241
1,33,3,2,-0.024164048
0,49,4,4,-0.039048614
0,56,5,4,0.099479565
0,21,3,4,0.770011054
0,47,3,2,0.960936749
0,48,3,2,0.162152699
0,37,3,4,0.04840793
0,39,4,5,1.082304732
0,36,2,1,0.851980263
1,28,3,4,1.024202893
0,48,3,4,1.183343968
0,43,4,5,0.246470853
0,21,2,1,0.878448208
0,67,2,1,0.029782666
0,53,3,2,0.05086126
0,45,2,1,1.028314312
1,46,2,1,-0.194466805
0,45,2,1,-0.003496152
0,56,3,1,1.095797922
1,31,3,2,-0.014843911
1,27,3,4,1.001347767
0,56,2,1,1.145413987
0,58,1,0,1.151756885
0,52,3,1,0.006336368
1,47,3,1,0.100936419
0,31,3,4,0.00041087
0,28,3,4,1.000439922
0,55,2,2,0.185162935
0,33,3,2,0.739964582
1,38,3,4,0.023172688
0,25,3,2,-0.000233461
0,29,2,4,1.000479243
0,42,3,2,-1.07E-05
1,34,3,2,0.059518941
0,35,4,4,0.999966047
0,31,3,1,3.87E-06
0,43,3,2,0.061351064
0,70,4,0,1.003585248
1,59,3,1,-0.000664431
0,37,2,2,0.01321167
1,32,3,2,1.019842712
0,50,2,1,0.050667217
0,51,2,1,1.153453611
0,66,2,1,0.03972499
0,61,2,1,0.104502084
0,60,2,1,-0.0248166
0,39,3,6,0.034300963
0,40,3,4,0.868069516
0,59,1,0,1.071138531
0,43,3,1,0.860079815
0,57,3,1,-0.093777669
0,55,2,1,0.977755492
0,54,3,1,1.000320836
0,52,3,1,1.000006578
1,30,3,4,1.070138725
0,62,3,2,0.837071968
1,28,3,2,0.25615397
0,33,3,4,0.828206348
0,50,3,1,-0.026080115
0,47,3,2,0.266591227
1,20,4,4,-0.005848551
0,21,4,4,-0.010580457
0,23,3,4,0.996988743
0,26,3,4,1.035000903
0,33,3,2,0.879414433
0,26,3,4,0.959662435
0,36,3,4,0.970294015
0,53,3,1,-0.076716285
0,30,3,2,0.99666247
0,40,4,2,-0.017095449
1,48,3,1,0.064090882
1,72,3,1,0.004704153
0,53,2,2,0.936357723
1,40,3,4,-0.039809209
0,38,3,6,1.018596588
1,38,3,4,0.062843644
0,33,2,1,0.692129136
0,87,3,0,0.994798533
0,42,3,4,1.085196011
0,52,4,5,-0.287611959
0,40,3,4,0.870333754
0,36,3,4,1.11896325
0,46,3,2,0.99080455
0,76,5,1,-0.027729891
0,60,3,2,0.026775602
0,41,3,4,1.109066355
0,41,3,4,0.996088793
0,22,3,4,0.066573669
0,41,3,2,1.005492185
0,18,3,4,1.043949517
0,55,3,2,1.068776705
1,19,3,1,1.213302086
0,75,2,0,1.024063743
1,38,3,2,0.009356021
0,18,3,1,0.876119736
0,80,4,1,0.945819983
0,67,3,2,0.959078591
0,57,3,2,0.863772656
0,82,3,0,0.056245192
0,51,1,4,-0.160407479
0,57,3,2,0.018479859
1,25,3,4,0.945169895
1,52,4,5,1.018698048
0,22,3,4,0.000133099
0,28,3,4,0.941446516
0,20,3,4,0.99999816
0,23,3,4,0.113842482
1,41,3,2,0.994763063
0,20,3,4,0.770418659
0,19,3,4,-0.006411511
0,20,3,4,0.186957255
0,62,4,5,1.019434813
1,61,4,5,0.2549566
0,21,3,4,0.872972521
1,48,2,2,1.080272945
1,90,2,0,-0.00092781
0,22,3,4,0.018634712
0,22,3,4,0.99459327
0,21,3,4,0.054739417
0,21,3,4,-0.001301475
0,21,3,4,0.111328372
1,67,6,5,-0.019700502
0,23,3,4,-0.087880932
0,18,3,4,1.012252975
0,20,5,4,0.048534381
0,28,2,2,1.027585275
0,23,3,4,-0.087523534
0,36,3,2,0.986210816
1,28,3,2,1.00790335
0,23,4,4,-0.005193969
0,25,5,4,0.999385006
0,26,5,4,0.055363904
0,19,3,4,0.87919445
0,23,4,4,0.944542799
0,18,4,4,-7.00E-06
0,20,4,4,-0.000183578
0,18,4,4,0.00374271
0,18,2,4,-0.20820219
0,34,3,2,0.006148008
0,43,4,6,0.00374271
